threshold,metric,metric_value,ev_f1_mean,ev_f1_mean_anypitch,patk_frame_f1,patk_onset_f1,patk_note_f1,pitch_active_precision,pitch_active_recall,pitch_active_f1,pitch_probe_top_k,pitch_inactive_specificity,pitch_exact_frame_match,pitch_frame_jaccard,pitch_pred_active_per_frame,pitch_gt_active_per_frame,pitch_polyphony_mae
0.1,patk_note_f1,0.0,0.0,0.0,0.041511648068286555,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.15,patk_note_f1,0.0,0.0,0.0,0.041511648068286555,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.2,patk_note_f1,0.0,0.0,0.0,0.041511648068286555,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.25,patk_note_f1,0.0,0.0,0.0,0.041511648068286555,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.3,patk_note_f1,0.0,0.0,0.0,0.041511648068286555,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.35,patk_note_f1,0.0,0.0,0.0,0.041609418388704675,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.4,patk_note_f1,0.0,0.0,0.0,0.0416083190112303,0.0,0.0,0.023379629629575512,0.12833545107842012,0.03955355133831577,10.0,0.8866743667568598,0.0,0.019965744195588185,9.999999999768518,1.8217592592170888,8.182870370180952
0.45,patk_note_f1,0.0,0.0,0.0,0.04188051463811351,0.0,0.0,0.0235157159487229,0.12833545107842012,0.03974812803949369,10.0,0.8873458862712168,0.0,0.01999811922796247,9.942129629399487,1.8217592592170888,8.124999999811921
0.5,patk_note_f1,0.0,0.0,0.0,0.04615851443085598,0.0,0.0,0.02661483253580558,0.11308767471266724,0.04308883738992464,10.0,0.9125681592304622,0.0,0.020803890443233004,7.740740740561557,1.8217592592170888,6.03472222208253
0.55,patk_note_f1,0.0,0.0,0.0,0.03370194353998641,0.0,0.0,0.028238182934142188,0.05844980940205274,0.03807946580565665,10.0,0.9574793843506522,0.0046296296295224625,0.022200259873357088,3.7708333332460455,1.8217592592170888,2.6898148147525505
0.6,patk_note_f1,0.0,0.0,0.0,0.014375557402906818,0.0,0.0,0.021806853582214847,0.0177890724267117,0.01959411681467833,10.0,0.983131429799086,0.04166666666570216,0.04915674603060815,1.4861111110767105,1.8217592592170888,1.7060185184790273
0.65,patk_note_f1,0.0,0.0,0.0,0.0023640648962724178,0.0,0.0,0.02209944751259119,0.005082592121917629,0.008264459769334667,10.0,0.9952456418380846,0.17592592592185358,0.17812499999587675,0.4189814814717828,1.8217592592170888,1.7546296295890131
0.7,patk_note_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9991673158019289,0.2962962962894376,0.2962962962894376,0.07175925925759817,1.8217592592170888,1.7962962962547153
0.75,patk_note_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9998925568774344,0.31481481480752743,0.31481481480752743,0.009259259259044925,1.8217592592170888,1.8217592592170888
0.8,patk_note_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9999999999997314,0.3194444444370499,0.3194444444370499,0.0,1.8217592592170888,1.8217592592170888
0.85,patk_note_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9999999999997314,0.3194444444370499,0.3194444444370499,0.0,1.8217592592170888,1.8217592592170888
0.9,patk_note_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9999999999997314,0.3194444444370499,0.3194444444370499,0.0,1.8217592592170888,1.8217592592170888
